Component Name;Artifact Name;Description;Version Currently Integrated;Link;License Type;License Link
Netty/Buffer;netty-buffer;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Codec;netty-codec;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Codec/HTTP;netty-codec-http;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Codec/HTTP2;netty-codec-http2;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Common;netty-common;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Handler;netty-handler;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Resolver;netty-resolver;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Transport;netty-transport;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Transport/Classes/Epoll;netty-transport-classes-epoll;Netty is an asynchronous event-driven network application framework for rapid development of main...;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Netty/Transport/Native/Unix/Common;netty-transport-native-unix-common; Static library which contains common unix utilities. ;4.1.118.Final;https://netty.io/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
swagger-annotations;swagger-annotations;swagger-annotations;2.2.29;https://github.com/swagger-api/swagger-core/modules/swagger-annotations;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
mbknor-jackson-jsonSchema;mbknor-jackson-jsonschema-java8;mbknor-jackson-jsonSchema;1.0.39.3;https://github.com/mbknor/mbknor-jackson-jsonSchema;MIT License;https://opensource.org/licenses/MIT
Jakarta RESTful WS API;jakarta.ws.rs-api;Jakarta RESTful Web Services;3.1.0;https://github.com/eclipse-ee4j/jaxrs-api;Eclipse Public License - v 2.0;https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt
Bean Validation API;validation-api; Bean Validation API ;2.0.1.Final;http://beanvalidation.org;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Joda-Time;joda-time;Date and time library to replace JDK date handling;2.12.7;https://www.joda.org/joda-time/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Apache Avro;avro;Avro core components;1.12.1;https://avro.apache.org;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Apache Commons Compress;commons-compress;Apache Commons Compress defines an API for working withcompression and archive formats. These incl...;1.28.0;https://commons.apache.org/proper/commons-compress/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
